Top Level,Category,Publication Date,May - 2017,Jun - 2017,Jul - 2017,Aug - 2017,Sep - 2017,Oct - 2017,Nov - 2017,Dec - 2017,Jan - 2018,Feb - 2018,Mar - 2018,Apr - 2018,Total,All Downloads
Xinyue Pi Dataverse Test,RESEARCH_GROUP,2018-04-03 12:06:06.378000,0,0,0,0,0,0,0,0,0,0,0,2,None,2
Christopher Lee Dataverse,RESEARCH_GROUP,2018-02-20 16:48:43.772000,0,0,0,0,0,0,0,0,0,1,1,0,None,2
University of Guelph Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 16:56:11.708000,108,209,102,39,55,53,103,28,62,120,244,25,None,10642
Abbatt Group Dataverse,RESEARCH_GROUP,2018-01-17 16:15:31.629000,0,0,0,0,0,0,0,0,0,1,0,0,None,1
University of Regina Dataverse,ORGANIZATIONS_INSTITUTIONS,2017-07-18 14:11:44.293000,0,0,0,0,0,0,0,0,0,0,0,0,None,0
McMaster Integrated Science Dataverse,TEACHING_COURSES,2017-12-01 17:25:05.406000,0,0,0,0,0,0,0,1,0,1,0,2,None,4
Stephanie Pugliese Dataverse,RESEARCH_PROJECTS,2018-03-05 13:14:01.966000,0,0,0,0,0,0,0,0,0,0,5,0,None,5
Study of Financial Ideology within the Canadian Press in Translation,RESEARCH_PROJECTS,2018-03-10 20:00:21.916000,0,0,0,0,0,0,0,0,0,0,0,0,None,0
KielstraArnottGunn_EcolApp Dataverse,RESEARCHERS,2017-07-18 09:51:23.860000,0,0,3,0,0,0,0,0,0,0,0,0,None,3
Refugee Experience in Canada Dataverse,RESEARCH_PROJECTS,2017-12-12 16:51:46.209000,0,0,0,0,0,0,0,0,0,0,0,0,None,0
Brock University Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 16:52:06.095999,3,5,0,0,0,1,10,4,4,3,8,1,None,105
Queen's University Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 17:10:25.343001,50,49,46,51,34,125,81,67,91,43,82,21,None,3526
Open Education Dataverse Dataverse,UNCATEGORIZED,2015-07-05 09:37:28.106000,0,0,0,0,0,0,0,0,0,0,0,0,None,0
Asian Business Review Dataverse,UNCATEGORIZED,2015-02-25 12:57:34.113000,0,0,0,0,0,0,0,0,0,0,0,0,None,0
Gambling Research Exchange Ontario Dataverse,UNCATEGORIZED,2014-02-13 12:25:34.074000,9,5,1,17,3,37,82,5,12,4,14,7,None,678
University of Ottawa Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 17:06:27.179000,43,8,37,11,14,53,38,20,40,12,27,23,None,2547
Centre for Urban Policy and Local Governance Dataverse,ORGANIZATIONS_INSTITUTIONS,2018-02-24 12:50:27.643000,0,0,0,0,0,0,0,0,0,0,0,46,None,46
Russell White Dataverse,UNCATEGORIZED,2015-12-04 16:28:51.884000,0,0,0,0,0,4,4,1,0,0,3,0,None,54
Raptors Conservation Dataverse,UNCATEGORIZED,2015-11-21 18:57:37.304000,0,0,0,0,0,0,0,0,0,0,0,0,None,0
<odesi> Public Data Collection Dataverse,UNCATEGORIZED,2015-07-20 11:02:31.447999,60,92,127,83,107,152,96,71,135,133,76,28,None,1999
Open Driver Vehicle Licensing - Shared Services Centre (SSC CA) DVLA Dataverse,UNCATEGORIZED,2016-06-27 06:31:42.472000,0,0,0,0,0,0,0,0,0,0,0,0,None,12
International Polar Year (IPY) 2007-2008 Dataverse,UNCATEGORIZED,2012-10-05 17:33:27.382000,0,0,0,0,0,0,0,1,0,2,0,0,None,20
Simon Kiss' working Dataverse,RESEARCHERS,2017-08-30 10:03:29.714000,0,0,0,0,0,1,0,0,0,3,0,0,None,4
Alexandre Mineault-Guitard Dataverse - Rees River,RESEARCH_PROJECTS,2017-12-19 10:37:46.891000,0,0,0,0,0,0,0,0,0,0,0,0,None,0
Web Archives for Historical Research Group Dataverse,UNCATEGORIZED,2015-12-01 11:37:13.435000,44,25,10,13,37,18,38,93,59,59,179,107,None,1299
Saideman Dataverse,RESEARCHERS,2017-08-18 16:00:25.591000,0,0,0,0,0,0,0,0,0,0,0,0,None,0
Scholar Science Journals Dataverse,UNCATEGORIZED,2015-01-14 10:04:59.773000,0,0,0,0,0,0,0,0,0,0,0,0,None,0
RDC Standards & Interoperability Committee (SINC) Dataverse,UNCATEGORIZED,2015-02-24 12:19:53.076000,2,0,1,2,4,11,7,1,2,8,7,1,None,558
University of Waterloo Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 17:14:39.183000,10,7,6,5,19,29,15,1,64,32,17,18,None,1896
EnRICH Lab Dataverse,UNCATEGORIZED,2015-02-03 14:05:57.090000,0,0,1,0,2,0,0,2,0,0,0,0,None,30
UOIT Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 17:05:05.519000,0,0,0,0,0,0,0,0,0,0,0,0,None,0
Royal Military College Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 17:11:12.979999,0,0,0,0,0,0,0,0,0,0,0,0,None,0
