Root,Path,Title,Name,Type,Status,Publication Date,Size (KB),application/gzip,application/json,application/msaccess,application/msword,application/octet-stream,application/pdf,application/vnd.google-earth.kml+xml,application/vnd.google-earth.kmz,application/vnd.ms-excel,application/vnd.ms-excel.sheet.macroenabled.12,application/vnd.ms-powerpoint,application/vnd.oasis.opendocument.spreadsheet,application/vnd.openxmlformats-officedocument.presentationml.presentation,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/x-bibtex,application/x-director,application/x-download,application/x-font-bdf,application/x-gzip,application/x-netcdf,application/x-rar-compressed,application/x-rlang-transport,application/x-sas-system,application/x-spss-sav,application/x-spss-sps,application/x-spss-syntax,application/x-stata,application/x-tar,application/x-xfig,application/zip,application/zipped-shapefile,audio/aac,audio/mp3,audio/mp4,audio/mpeg,audio/wav,audio/x-aiff,audio/x-m4a,audio/x-wave,image/bmp,image/gif,image/jpeg,image/png,image/tiff,image/vnd.dwg,image/x-portable-graymap,text/comma-separated-values,text/csv,text/html,text/plain,text/plain; charset=US-ASCII,text/plain; charset=UTF-8,text/rtf,text/tab-separated-values,text/x-bibtex,text/x-fixed-field,text/x-fortran,text/x-log,text/xml,text/xml-graphml,text/x-python-script,text/x-sas-syntax; charset=US-ASCII,text/x-spss-syntax,text/x-spss-syntax; charset=US-ASCII,text/x-spss-syntax; charset=UTF-8,text/x-stata-syntax; charset=US-ASCII,type/x-r-syntax,video/3gpp,video/avi,video/mp4,video/quicktime,Totals
Western University Dataverse,Western University Research Data Repository Dataverse,"Canadian Fertility Survey, 1984",11217,Dataset,RELEASED,2015-10-22 13:53:13.946000,16855,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,4,0,6,0,4,0,0,0,0,0,None
Western University Dataverse,Western University Research Data Repository Dataverse,Federal Elections in Ontario (1867-1911): Voting and Census Data file,11220,Dataset,RELEASED,2015-10-22 15:55:07.173000,6926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,4,0,6,0,4,0,0,0,0,0,None
McMaster University Dataverse,MACMarsh - McMaster Marsh Dataverse,test,10777,Dataset,DEACCESSIONED,2014-08-20 14:39:30.670000,1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
University of Waterloo Dataverse,GIVRAPD_St_Lucia Dataverse,Spreadsheets,10291,Dataset,RELEASED,2013-01-27 16:39:41.420000,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
University of Waterloo Dataverse,GIVRAPD_St_Lucia Dataverse,Documents,10290,Dataset,RELEASED,2013-01-27 16:39:10.020000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
University of Waterloo Dataverse,GIVRAPD_St_Lucia Dataverse,Transcripts,20079,Dataset,RELEASED,2013-02-27 11:59:27.378000,28274,0,0,0,16,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
University of Waterloo Dataverse,GIVRAPD_St_Lucia Dataverse,Photos,10288,Dataset,RELEASED,2013-01-27 16:38:07.891000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
University of Ottawa Dataverse,#hackuObiblio Bibliothèque uOttawa Library Dataverse,100% not real data,11231,Dataset,DEACCESSIONED,2015-11-02 16:06:37.510000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
University of Guelph Dataverse,Protein-protein interactions and folding dynamics of a plant aspartic protease saposin-like protein Dataverse,Molecular dynamics simulations of the plant-specific insert dimer at pH 7.4,10721,Dataset,RELEASED,2014-07-11 00:23:35.053000,13958315,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
University of Guelph Dataverse,Protein-protein interactions and folding dynamics of a plant aspartic protease saposin-like protein Dataverse,Molecular dynamics simulations of the plant-specific insert monomer at pH 4.5,10719,Dataset,RELEASED,2014-07-11 00:23:31.342999,15169015,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
University of Guelph Dataverse,Protein-protein interactions and folding dynamics of a plant aspartic protease saposin-like protein Dataverse,Molecular dynamics simulations of the plant-specific insert monomer at pH 7.4,10714,Dataset,RELEASED,2014-07-11 00:23:04.063000,15161476,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
University of Guelph Dataverse,Protein-protein interactions and folding dynamics of a plant aspartic protease saposin-like protein Dataverse,Molecular dynamics simulations of the plant-specific insert dimer at pH 3.0,10746,Dataset,RELEASED,2014-07-11 00:23:38.936000,13973211,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
RDC Standards & Interoperability Committee (SINC) Dataverse,None,Research Data Repository Requirements and Features Review,10892,Dataset,RELEASED,2015-02-24 13:48:23.157000,144,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
University of Toronto Dataverse,Forum Research/Political Science Data Archive,Forum Research Political Poll – Provincial Issues (Ontario) 2013,10678,Dataset,RELEASED,2014-05-29 13:31:03.443999,4498,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
University of Toronto Dataverse,Forum Research/Political Science Data Archive,Forum Research Political Poll – Federal Issues (Canada) 2013,10677,Dataset,RELEASED,2014-05-29 12:20:31.112000,5146,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
University of Toronto Dataverse,Forum Research/Political Science Data Archive,Test,10608,Dataset,DEACCESSIONED,2014-02-28 16:39:55.970000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
University of Toronto Dataverse,Forum Research/Political Science Data Archive,Forum Research Political Poll - Federal Issues (Canada) 2015,12144,Dataset,RELEASED,2016-09-13 17:01:17.129000,5289,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
University of Toronto Dataverse,Forum Research/Political Science Data Archive,Forum Research Political Poll – Municipal Issues (Toronto) 2013,10689,Dataset,RELEASED,2014-06-27 13:27:34.518000,4444,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
