Top Level,Category,Publication Date,Oct - 2016,Nov - 2016,Dec - 2016,Jan - 2017,Feb - 2017,Mar - 2017,Apr - 2017,May - 2017,Jun - 2017,Jul - 2017,Aug - 2017,Sep - 2017,Oct - 2017,Total
International Polar Year (IPY) 2007-2008 Dataverse,UNCATEGORIZED,2012-10-05 17:33:27.382000,0,0,0,0,0,0,0,0,0,0,0,0,0,
Asian Business Review Dataverse,UNCATEGORIZED,2015-02-25 12:57:34.113000,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nipissing University Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 17:03:04.604000,0,0,0,0,0,0,0,0,0,0,0,0,0,
University of Windsor Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 17:17:46.560000,0,0,0,0,0,0,0,9,0,9,8,2,1,
Open Education Dataverse Dataverse,UNCATEGORIZED,2015-07-05 09:37:28.106000,0,0,0,0,0,0,0,0,0,0,0,0,0,
Russell White Dataverse,UNCATEGORIZED,2015-12-04 16:28:51.884000,1,4,2,3,4,6,0,0,0,0,0,0,4,
Raptors Conservation Dataverse,UNCATEGORIZED,2015-11-21 18:57:37.304000,0,0,0,0,0,0,0,0,0,0,0,0,0,
Web Archives for Historical Research Group Dataverse,UNCATEGORIZED,2015-12-01 11:37:13.435000,3,10,44,83,65,24,98,44,25,10,13,37,18,
Open Driver Vehicle Licensing - Shared Services Centre (SSC CA) DVLA Dataverse,UNCATEGORIZED,2016-06-27 06:31:42.472000,0,0,0,0,0,0,0,0,0,0,0,0,0,
Simon Kiss Dataverse,RESEARCHERS,2017-08-30 10:03:29.714000,0,0,0,0,0,0,0,0,0,0,0,0,1,
Brock University Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 16:52:06.095999,4,0,1,0,3,2,6,3,5,0,0,0,1,
Gambling Research Exchange Ontario Dataverse,UNCATEGORIZED,2014-02-13 12:25:34.074000,6,45,10,12,6,6,4,9,5,1,17,3,37,
University of Guelph Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 16:56:11.708000,391,417,208,389,1032,1206,87,108,209,102,39,55,53,
University of Regina Dataverse,ORGANIZATIONS_INSTITUTIONS,2017-07-18 14:11:44.293000,0,0,0,0,0,0,0,0,0,0,0,0,0,
Queen's University Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 17:10:25.343001,72,148,67,60,105,98,75,50,49,46,51,34,125,
KielstraArnottGunn_EcolApp Dataverse,RESEARCHERS,2017-07-18 09:51:23.860000,0,0,0,0,0,0,0,0,0,3,0,0,0,
Laurentian University Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 16:58:20.853999,0,0,0,0,0,0,0,0,0,0,2,0,11,
<odesi> Public Data Collection Dataverse,UNCATEGORIZED,2015-07-20 11:02:31.447999,22,91,25,143,114,174,40,60,92,127,83,107,152,
Scholar Science Journals Dataverse,UNCATEGORIZED,2015-01-14 10:04:59.773000,0,0,0,0,0,0,0,0,0,0,0,0,0,
"""The Fair Access to Unpublished Government of Canada Manuals"" Project Dataverse",UNCATEGORIZED,2013-03-28 23:31:26.798000,0,0,0,2,0,0,1,0,1,0,0,0,0,
EnRICH Lab Dataverse,UNCATEGORIZED,2015-02-03 14:05:57.090000,4,1,6,0,0,0,0,0,0,1,0,2,0,
RDC Standards & Interoperability Committee (SINC) Dataverse,UNCATEGORIZED,2015-02-24 12:19:53.076000,8,1,4,6,11,3,7,2,0,1,2,4,11,
Translation Corpus - Ideology in Political Speeches Dataverse,RESEARCHERS,2016-11-09 14:14:22.970000,0,4,0,0,0,1,0,0,0,1,0,0,0,
OCAD University Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 17:04:12.126001,0,0,0,0,0,0,0,0,0,0,0,0,0,
University of Toronto Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 17:12:52.823000,68,101,95,81,117,80,67,91,84,87,51,73,100,
University of Waterloo Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 17:14:39.183000,49,16,5,3,10,18,16,10,7,6,5,19,29,
Wilfrid Laurier University Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 17:16:28.977999,6,7,3,2,117,962,19,22,27,27,27,48,57,
UOIT Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 17:05:05.519000,0,0,0,0,0,0,0,0,0,0,0,0,0,
Royal Military College Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 17:11:12.979999,0,0,0,0,0,0,0,0,0,0,0,0,0,
Trent University Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 17:13:46.294000,0,0,0,0,0,0,0,0,0,0,0,0,0,
Saideman Dataverse,RESEARCHERS,2017-08-18 16:00:25.591000,0,0,0,0,0,0,0,0,0,0,0,0,0,
aidenstoker Dataverse,UNCATEGORIZED,2016-07-27 02:39:18.486000,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fecal Storage Study Dataverse,RESEARCH_PROJECTS,2017-02-28 13:24:57.376000,0,0,0,0,0,0,0,0,0,0,0,0,0,
University of Ottawa Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 17:06:27.179000,88,8,4,51,4,76,18,43,8,37,11,14,54,
MINES Survey Dataverse,UNCATEGORIZED,2011-08-30 14:31:44.541001,0,0,0,0,0,0,0,0,0,0,0,0,0,
Western University Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 17:15:43.538000,3,1,3,0,2,0,0,0,0,0,0,1,1,
McMaster University Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 17:01:42.101999,3,3,5,0,5,2,2,7,1,19,12,4,0,
University of Calgary Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-10-31 13:38:08.116000,0,10,12,0,3,5,1,4,3,2,2,1,3,
Ryerson University Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 17:12:02.083999,0,0,0,0,0,0,0,0,0,0,0,0,0,
Algoma University Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 16:49:40.531000,0,0,0,0,0,0,0,0,0,0,0,0,0,
Carleton University Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 16:54:51.134000,7,8,5,19,52,21,6,12,2,0,3,20,31,
Mark Weiler Dataverse,UNCATEGORIZED,2013-03-04 21:40:31.471000,1,1,0,0,0,4,3,0,0,0,0,0,0,
Anaheim Electronics Research Cluster Dataverse,LABORATORY,2017-03-24 14:32:30.743001,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lakehead University Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 16:57:24.681000,0,0,0,0,0,0,0,0,0,0,0,0,0,
York University Dataverse,ORGANIZATIONS_INSTITUTIONS,2016-09-30 17:18:46.261000,2,5,12,50,2,29,4,4,1,1,2,10,10,
ScholarsIndex Dataverse,ORGANIZATIONS_INSTITUTIONS,2017-01-04 07:38:48.917000,0,0,0,0,0,0,0,0,0,0,0,0,0,
Steve Marks Dataverse,UNCATEGORIZED,2011-02-28 16:19:30.398000,0,0,0,0,0,0,0,0,0,0,0,0,4,
A Novel Approach for Precise Motion Artefact Detection in Photoplethysmograph Signal Processing based on Dark Photocurrent Dataverse,RESEARCHERS,2017-05-10 01:11:29.244000,0,0,0,0,0,0,0,0,0,0,0,0,0,
Solidarity by Association Dataverse,RESEARCHERS,2017-01-17 12:55:16.250000,0,0,0,0,0,1,1,0,1,0,0,1,0,
JHiSquares Dataverse,RESEARCH_GROUP,2017-05-24 11:31:53.557001,0,0,0,0,0,0,0,2,0,1,0,2,0,
Mapping the Comic Book Industry Dataverse,RESEARCH_PROJECTS,2017-06-12 11:35:37.268000,0,0,0,0,0,0,0,0,1,1,0,1,5,
Totals,,,,,,,,,,,,,,,,
