Affiliation,May - 2017,Jun - 2017,Jul - 2017,Aug - 2017,Sep - 2017,Oct - 2017,Nov - 2017,Dec - 2017,Jan - 2018,Feb - 2018,Mar - 2018,Apr - 2018,Totals,All Time
AAFC/University of Guelph,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Academy of Science of SA,0,0,0,0,0,0,0,0,0,0,0,0,None,1
AIIMS Jodhpur,0,0,0,0,0,0,0,0,0,0,0,0,None,1
AIQRonEOIT,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Algoma University,0,0,0,1,0,0,0,0,0,1,0,0,None,4
Angus Reid Institute,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Anhui University,0,0,0,0,1,0,0,0,0,0,0,0,None,1
Arizona State University,0,0,0,0,0,0,0,0,0,0,0,0,None,2
ARIZONA STATE UNIVERSITY,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Artefactual Systems Inc.,0,0,0,0,0,0,0,0,0,0,0,1,None,2
Asian Business Consortium,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Ataturk University,0,0,0,0,0,0,0,0,0,0,0,0,None,1
BC Health,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Bilgi University,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Bocconi University,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Brandeis University,0,0,0,0,0,0,0,0,0,0,0,0,None,2
Brock,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Brock University,0,0,0,0,0,1,1,1,0,0,0,0,None,15
Cape Breton University,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Caribsave/Intasave Partnership,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Carleton University,0,0,0,0,1,4,1,1,2,1,1,0,None,57
Carleton  University,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Carleton University ,0,0,0,0,0,0,0,0,0,0,0,0,None,1
"Carleton University, MacOdrum Library",0,0,0,0,0,0,0,0,0,0,0,0,None,1
Carter,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Catolica Lisbon,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Centre for Addiction and Mental Health,0,0,0,0,0,0,0,0,0,0,0,0,None,2
City of Guelph,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Concordia University,0,0,0,0,0,1,1,0,0,0,0,0,None,5
Conrad Grebel University College,0,0,0,0,0,0,0,0,0,0,0,0,None,1
ConvergInnova Inc,0,0,0,0,0,0,0,0,0,0,1,0,None,1
Craftinity,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Dalhousie University,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Dataverse,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Dataverse.org,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Department of Canadian Heritage,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Dokuz Eylul University,0,0,0,0,0,1,0,0,0,0,0,0,None,1
EPFL,0,0,0,0,0,0,0,0,0,0,0,0,None,1
erasmus university rotterdam,0,0,0,0,0,0,0,0,0,0,0,0,None,1
"Faculty of Information, University of Toronto",0,0,0,0,0,0,0,0,0,0,0,0,None,1
FDP,0,0,0,0,0,0,0,0,0,0,0,1,None,1
Fitchburg State University ,0,0,0,0,1,0,0,0,0,0,0,0,None,1
Gambling Research Exchange Ontario,0,0,0,0,0,0,0,0,0,0,0,0,None,1
George Mason University,0,0,0,0,0,0,0,1,0,0,0,0,None,1
G.O.P. University,0,0,0,0,0,0,0,1,0,0,0,0,None,1
Government,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Great Plains Psychological Services,0,0,0,1,0,0,0,0,0,0,0,0,None,1
Hamilton Chamber of Commerce,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Harvard University,0,0,0,1,0,0,0,0,0,0,0,0,None,1
Heriot-Watt University,0,0,0,0,0,0,0,0,0,0,0,0,None,1
HKUST,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Humber College,0,0,0,0,0,0,0,0,0,0,0,0,None,1
HV,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Indiana University,0,0,0,0,0,0,0,0,0,0,0,0,None,1
indian institute of astrophysics,0,0,0,0,0,0,0,0,0,0,0,0,None,1
Institut Teknologi Bandung,0,0,0,0,0,0,0,0,0,0,0,0,None,1
International university of japan,0,0,0,0,0,0,0,0,0,0,1,0,None,1
Iowa State University,0,0,0,0,0,0,0,0,0,0,0,0,None,2
IP Innovative Publication,0,0,0,0,0,0,0,0,0,0,0,1,None,1
